Uruguay,Argentina,1879,2021,1902
Argentina,Uruguay,2005,1895,1903
Belgium,France,1793,1607,1904
France,Switzerland,1604,1495,1905
Belgium,France,1776,1604,1905
Argentina,Uruguay,1997,1903,1905
France,Belgium,1577,1829,1906
Uruguay,Argentina,1873,2010,1906
Argentina,Uruguay,2010,1873,1906
Belgium,France,1809,1594,1907
Switzerland,France,1505,1562,1908
Switzerland,Germany,1505,1669,1908
France,Belgium,1562,1780,1908
Uruguay,Argentina,1877,2006,1908
Argentina,Uruguay,2006,1877,1908
Argentina,Uruguay,2006,1877,1908
Belgium,Sweden,1780,1656,1908
Germany,Switzerland,1678,1499,1909
Belgium,France,1759,1553,1909
Argentina,Uruguay,2019,1864,1909
Uruguay,Argentina,1864,2019,1909
Argentina,Uruguay,2019,1864,1909
France,Belgium,1533,1796,1910
Switzerland,Germany,1490,1658,1910
Germany,Belgium,1658,1796,1910
Argentina,Uruguay,1956,1935,1910
Uruguay,Argentina,1935,1956,1910
Argentina,Uruguay,1956,1935,1910
Argentina,Uruguay,1956,1935,1910
Germany,Switzerland,1647,1542,1911
Belgium,Germany,1779,1647,1911
Switzerland,France,1542,1520,1911
Belgium,France,1779,1520,1911
Sweden,Germany,1691,1647,1911
Argentina,Uruguay,1952,1939,1911
Uruguay,Argentina,1939,1952,1911
Uruguay,Argentina,1939,1952,1911
Argentina,Uruguay,1952,1939,1911
Germany,Sweden,1647,1691,1911
Uruguay,Argentina,1939,1952,1911
France,Belgium,1553,1762,1912
France,Switzerland,1553,1515,1912
Belgium,Switzerland,1762,1515,1912
Switzerland,Germany,1515,1687,1912
Uruguay,Argentina,1952,1939,1912
Uruguay,Argentina,1952,1939,1912
Argentina,Uruguay,1939,1952,1912
Argentina,Uruguay,1939,1952,1912
Denmark,Germany,2033,1687,1912
Uruguay,Argentina,1952,1939,1912
Belgium,France,1800,1580,1913
Switzerland,France,1504,1580,1913
Russia,Sweden,1449,1645,1913
Switzerland,Belgium,1504,1800,1913
Germany,Switzerland,1653,1504,1913
Denmark,Sweden,2051,1645,1913
Argentina,Uruguay,1957,1936,1913
Argentina,Uruguay,1957,1936,1913
Argentina,Uruguay,1957,1936,1913
Argentina,Uruguay,1957,1936,1913
Sweden,Denmark,1645,2051,1913
Uruguay,Argentina,1936,1957,1913
Germany,Denmark,1653,2051,1913
Uruguay,Argentina,1936,1957,1913
Belgium,Switzerland,1800,1504,1913
Belgium,Germany,1800,1653,1913
France,Belgium,1562,1760,1914
France,Switzerland,1562,1505,1914
Sweden,Russia,1648,1457,1914
Uruguay,Argentina,1933,1948,1914
Argentina,Uruguay,1948,1933,1914
Argentina,Brazil,1948,1912,1914
Argentina,Brazil,1948,1912,1914
Denmark,Sweden,2075,1642,1915
Uruguay,Argentina,1928,1953,1915
Argentina,Uruguay,1953,1928,1915
Uruguay,Argentina,1928,1953,1915
Sweden,Denmark,1642,2075,1915
Denmark,Sweden,2045,1663,1916
Argentina,Brazil,1981,1892,1916
Brazil,Uruguay,1892,1904,1916
Argentina,Uruguay,1981,1904,1916
Uruguay,Brazil,1904,1892,1916
Argentina,Uruguay,1981,1904,1916
Uruguay,Argentina,1904,1981,1916
Argentina,Uruguay,1981,1904,1916
Uruguay,Argentina,1904,1981,1916
Sweden,Denmark,1663,2045,1916
Uruguay,Argentina,1904,1981,1916
Denmark,Sweden,2042,1668,1917
Uruguay,Argentina,1956,1987,1917
Argentina,Uruguay,1987,1956,1917
Uruguay,Argentina,1956,1987,1917
Argentina,Brazil,1987,1836,1917
Uruguay,Brazil,1956,1836,1917
Sweden,Denmark,1668,2042,1917
Uruguay,Argentina,1956,1987,1917
Uruguay,Brazil,1956,1836,1917
Denmark,Sweden,2020,1650,1918
Uruguay,Argentina,1945,1998,1918
Uruguay,Argentina,1945,1998,1918
Argentina,Uruguay,1998,1945,1918
Argentina,Uruguay,1998,1945,1918
Uruguay,Argentina,1945,1998,1918
Argentina,Uruguay,1998,1945,1918
Sweden,Denmark,1650,2020,1918
Belgium,France,1762,1569,1919
Argentina,Uruguay,1940,1988,1919
Brazil,Argentina,1906,1940,1919
Brazil,Uruguay,1906,1988,1919
Brazil,Uruguay,1906,1988,1919
Brazil,Argentina,1906,1940,1919
Denmark,Sweden,1975,1662,1919
Uruguay,Argentina,1988,1940,1919
Uruguay,Argentina,1988,1940,1919
Argentina,Uruguay,1940,1988,1919
Sweden,Denmark,1662,1975,1919
Argentina,Uruguay,1940,1988,1919
Uruguay,Argentina,1988,1940,1919
Switzerland,France,1561,1619,1920
France,Belgium,1619,1924,1920
Sweden,Switzerland,1649,1561,1920
Switzerland,Germany,1561,1655,1920
Uruguay,Argentina,2044,1945,1920
Argentina,Uruguay,1945,2044,1920
Argentina,Uruguay,1945,2044,1920
Uruguay,Argentina,2044,1945,1920
Brazil,Uruguay,1830,2044,1920
Argentina,Brazil,1945,1830,1920
Sweden,Denmark,1649,1936,1920
Belgium,France,1879,1592,1921
Belgium,England,1879,1927,1921
Argentina,Brazil,1971,1847,1921
Sweden,Denmark,1590,1927,1921
Brazil,Uruguay,1847,1999,1921
Argentina,Uruguay,1971,1999,1921
Spain,Portugal,2022,1698,1921
France,Belgium,1585,1868,1922
Germany,Switzerland,1679,1602,1922
Belgium,Denmark,1868,1868,1922
France,Spain,1585,2031,1922
Sweden,Poland,1641,1625,1922
Brazil,Uruguay,1905,2006,1922
Denmark,Sweden,1868,1641,1922
Argentina,Uruguay,1899,2006,1922
Brazil,Argentina,1905,1899,1922
Brazil,Argentina,1905,1899,1922
Uruguay,Argentina,2006,1899,1922
Uruguay,Argentina,2006,1899,1922
Argentina,Uruguay,1899,2006,1922
Portugal,Spain,1694,2031,1922
Spain,France,2023,1548,1923
Belgium,Spain,1870,2023,1923
Belgium,France,1870,1548,1923
England,Belgium,1914,1870,1923
France,Switzerland,1548,1600,1923
France,England,1548,1914,1923
Sweden,England,1665,1914,1923
Sweden,England,1665,1914,1923
Switzerland,Germany,1600,1664,1923
Denmark,Switzerland,1873,1600,1923
Argentina,Uruguay,1911,2008,1923
Sweden,Germany,1665,1664,1923
Argentina,Uruguay,1911,2008,1923
Uruguay,Argentina,2008,1911,1923
Uruguay,Argentina,2008,1911,1923
Sweden,Denmark,1665,1873,1923
Belgium,England,1870,1914,1923
Poland,Sweden,1606,1665,1923
Argentina,Brazil,1911,1876,1923
Uruguay,Brazil,2008,1876,1923
Argentina,Brazil,1911,1876,1923
Uruguay,Argentina,2008,1911,1923
Argentina,Brazil,1911,1876,1923
Spain,Portugal,2023,1691,1923
France,Belgium,1554,1741,1924
Switzerland,France,1774,1554,1924
Switzerland,Denmark,1774,1850,1924
France,England,1554,1905,1924
Sweden,Poland,1896,1580,1924
Argentina,Uruguay,1960,2038,1924
Uruguay,Argentina,2038,1960,1924
Denmark,Sweden,1850,1896,1924
Sweden,Egypt,1896,1690,1924
Germany,Sweden,1674,1896,1924
Uruguay,Argentina,2038,1960,1924
Argentina,Uruguay,1960,2038,1924
Denmark,Belgium,1850,1741,1924
Uruguay,Argentina,2038,1960,1924
Belgium,France,1741,1554,1924
England,Belgium,1905,1741,1924
Germany,Switzerland,1674,1774,1924
France,England,1533,1898,1925
Switzerland,Belgium,1745,1735,1925
Switzerland,Spain,1745,2008,1925
Sweden,Denmark,1885,1864,1925
Sweden,Germany,1885,1709,1925
Switzerland,Germany,1745,1709,1925
Poland,Sweden,1571,1885,1925
Argentina,Brazil,1995,1930,1925
Argentina,Brazil,1995,1930,1925
France,Belgium,1589,1714,1926
France,Portugal,1589,1676,1926
France,Switzerland,1589,1720,1926
Belgium,England,1714,1831,1926
Belgium,France,1714,1589,1926
Germany,Sweden,1726,1822,1926
Denmark,Sweden,1866,1822,1926
Sweden,Poland,1822,1601,1926
Argentina,Uruguay,1961,2037,1926
Germany,Switzerland,1726,1720,1926
Portugal,France,1678,1561,1927
Belgium,Sweden,1681,1827,1927
Spain,Switzerland,1998,1685,1927
Belgium,England,1681,1826,1927
France,Spain,1561,1998,1927
France,England,1561,1826,1927
Sweden,Denmark,1827,1877,1927
Uruguay,Argentina,2017,2012,1927
Argentina,Uruguay,2012,2017,1927
Sweden,Belgium,1827,1681,1927
Denmark,Germany,1877,1725,1927
Peru,Uruguay,1578,2017,1927
Switzerland,Sweden,1685,1827,1927
Argentina,Uruguay,2012,2017,1927
Peru,Argentina,1578,2012,1927
Portugal,Spain,1716,1899,1928
Switzerland,France,1607,1538,1928
Portugal,Argentina,1716,2052,1928
France,Belgium,1538,1641,1928
Switzerland,Germany,1607,1776,1928
France,Portugal,1538,1716,1928
France,England,1538,1849,1928
Belgium,England,1641,1849,1928
Poland,Sweden,1615,1814,1928
Argentina,Uruguay,2052,2056,1928
Germany,Denmark,1776,1872,1928
Uruguay,Argentina,2056,2052,1928
Sweden,Germany,1814,1776,1928
Denmark,Sweden,1872,1814,1928
Germany,Switzerland,1818,1550,1929
Spain,Portugal,1916,1687,1929
France,Portugal,1541,1687,1929
Spain,France,1916,1541,1929
France,England,1541,1930,1929
Belgium,England,1637,1930,1929
Spain,England,1916,1930,1929
Belgium,France,1637,1541,1929
Argentina,Uruguay,2085,1964,1929
Sweden,Denmark,1807,1816,1929
Uruguay,Argentina,1964,2085,1929
Germany,Sweden,1818,1807,1929
Uruguay,Argentina,1964,2085,1929
Argentina,Uruguay,2085,1964,1929
Argentina,Peru,2085,1542,1929
Peru,Uruguay,1542,1964,1929
Argentina,Uruguay,2085,1964,1929
Portugal,France,1691,1555,1930
France,Switzerland,1555,1551,1930
France,Belgium,1555,1581,1930
Switzerland,Germany,1551,1811,1930
Germany,England,1811,1996,1930
Argentina,Uruguay,2063,2037,1930
Belgium,France,1581,1555,1930
Belgium,Portugal,1581,1691,1930
Sweden,Switzerland,1760,1551,1930
Denmark,Sweden,1838,1760,1930
France,Mexico,1555,1495,1930
Argentina,France,2063,1555,1930
Uruguay,Peru,2037,1498,1930
Argentina,Mexico,2063,1495,1930
Uruguay,Argentina,2037,2063,1930
Brazil,France,1891,1555,1930
Denmark,Germany,1838,1811,1930
Belgium,Sweden,1581,1760,1930
Sweden,Poland,1760,1649,1930
Portugal,Spain,1691,1931,1930
France,Belgium,1555,1581,1930
France,Germany,1582,1784,1931
France,England,1582,1990,1931
Belgium,England,1591,1990,1931
Portugal,Belgium,1688,1591,1931
Sweden,Germany,1761,1784,1931
Sweden,Denmark,1761,1760,1931
Brazil,Uruguay,1916,2012,1931
Germany,Denmark,1784,1760,1931
Belgium,Poland,1591,1636,1931
Belgium,Switzerland,1591,1529,1931
England,Spain,1990,1921,1931
Germany,Switzerland,1769,1633,1932
Switzerland,France,1633,1559,1932
Belgium,France,1586,1559,1932
Argentina,Uruguay,2052,1989,1932
Uruguay,Argentina,1989,2052,1932
Denmark,Belgium,1745,1586,1932
Sweden,Belgium,1691,1586,1932
Denmark,Sweden,1745,1691,1932
Poland,Sweden,1691,1691,1932
Germany,Sweden,1769,1691,1932
Switzerland,Sweden,1633,1691,1932
Uruguay,Brazil,1989,1939,1932
Uruguay,Argentina,1976,2065,1933
Argentina,Uruguay,2065,1976,1933
Switzerland,Belgium,1604,1581,1933
Germany,France,1779,1586,1933
France,Belgium,1586,1581,1933
Spain,Portugal,1908,1698,1933
France,Spain,1586,1908,1933
Switzerland,England,1604,1987,1933
Poland,Belgium,1657,1581,1933
Sweden,Denmark,1723,1758,1933
Germany,Belgium,1779,1581,1933
Switzerland,Germany,1604,1779,1933
Belgium,Denmark,1581,1758,1933
Germany,Poland,1779,1657,1933
England,France,1987,1586,1933
Uruguay,Argentina,1976,2065,1933
Belgium,France,1518,1616,1934
France,Switzerland,1616,1620,1934
Spain,Portugal,1968,1672,1934
Portugal,Spain,1672,1968,1934
Denmark,Poland,1685,1621,1934
Sweden,Poland,1756,1621,1934
Argentina,Sweden,2021,1756,1934
Belgium,Germany,1518,1877,1934
Brazil,Spain,1863,1968,1934
Germany,Sweden,1877,1756,1934
Denmark,Sweden,1685,1756,1934
Uruguay,Argentina,1968,2021,1934
Argentina,Uruguay,2021,1968,1934
Poland,Germany,1621,1877,1934
Denmark,Germany,1685,1877,1934
Peru,Uruguay,1514,2011,1935
Peru,Argentina,1514,2005,1935
Spain,France,1976,1639,1935
Argentina,Uruguay,2005,2011,1935
Germany,Switzerland,1886,1681,1935
France,Germany,1639,1886,1935
Belgium,France,1523,1639,1935
Belgium,Germany,1523,1886,1935
Portugal,Spain,1677,1976,1935
Germany,Spain,1886,1976,1935
Belgium,Switzerland,1523,1681,1935
Sweden,Denmark,1764,1681,1935
Sweden,Germany,1764,1886,1935
Uruguay,Argentina,2011,2005,1935
Argentina,Uruguay,2005,2011,1935
Germany,Poland,1886,1593,1935
Switzerland,France,1681,1639,1935
France,Sweden,1639,1764,1935
Belgium,Sweden,1523,1764,1935
England,Germany,2010,1886,1935
Belgium,Poland,1521,1577,1936
Spain,Germany,1946,1815,1936
Portugal,Germany,1661,1815,1936
France,Belgium,1624,1521,1936
Switzerland,Spain,1635,1946,1936
Belgium,England,1521,1936,1936
Switzerland,Belgium,1635,1521,1936
Denmark,Sweden,1722,1709,1936
Sweden,Switzerland,1709,1635,1936
Argentina,Uruguay,2008,2011,1936
Poland,Germany,1577,1815,1936
Uruguay,Argentina,2011,2008,1936
Denmark,Poland,1722,1577,1936
Brazil,Peru,1870,1553,1936
Peru,Uruguay,1590,1863,1937
Argentina,Peru,2054,1590,1937
Brazil,Uruguay,1908,1863,1937
Argentina,Uruguay,2054,1863,1937
Argentina,Brazil,2054,1908,1937
Argentina,Brazil,2054,1908,1937
Belgium,France,1533,1613,1937
Germany,France,1869,1613,1937
Belgium,Switzerland,1533,1597,1937
Germany,Belgium,1869,1533,1937
Switzerland,Germany,1597,1869,1937
Germany,Denmark,1869,1734,1937
Sweden,England,1652,1979,1937
Poland,Sweden,1628,1652,1937
Poland,Denmark,1628,1734,1937
Sweden,Denmark,1652,1734,1937
France,Switzerland,1613,1597,1937
Uruguay,Argentina,1863,2054,1937
Argentina,Uruguay,2054,1863,1937
Germany,Sweden,1869,1652,1937
Spain,Portugal,1946,1661,1937
France,Belgium,1635,1536,1938
Portugal,Spain,1668,1946,1938
Germany,Switzerland,1777,1706,1938
Switzerland,Poland,1706,1596,1938
Germany,Portugal,1777,1668,1938
Switzerland,Portugal,1706,1668,1938
Switzerland,Belgium,1706,1536,1938
Germany,England,1777,1943,1938
Switzerland,England,1706,1943,1938
France,England,1635,1943,1938
Germany,Switzerland,1777,1706,1938
Brazil,Poland,1935,1596,1938
France,Belgium,1635,1536,1938
Germany,Switzerland,1777,1706,1938
Argentina,Uruguay,2070,1847,1938
Brazil,Sweden,1935,1656,1938
Denmark,Sweden,1691,1656,1938
Colombia,Peru,1344,1640,1938
Germany,Poland,1777,1596,1938
Uruguay,Argentina,1847,2070,1938
Switzerland,Portugal,1706,1668,1938
Brazil,Argentina,1929,2071,1939
Brazil,Argentina,1929,2071,1939
France,Poland,1679,1604,1939
Belgium,Germany,1517,1834,1939
Peru,Uruguay,1744,1855,1939
Portugal,Switzerland,1650,1779,1939
Belgium,Switzerland,1517,1779,1939
Belgium,France,1517,1679,1939
Poland,Belgium,1604,1517,1939
Poland,Switzerland,1604,1779,1939
Denmark,Germany,1707,1834,1939
Sweden,Denmark,1701,1707,1939
France,Portugal,1685,1644,1940
Brazil,Argentina,1889,2072,1940
Brazil,Argentina,1889,2072,1940
Argentina,Brazil,2072,1889,1940
Argentina,Brazil,2072,1889,1940
Argentina,Brazil,2072,1889,1940
Brazil,Uruguay,1889,1905,1940
Brazil,Uruguay,1889,1905,1940
Croatia,Switzerland,1905,1761,1940
Switzerland,Croatia,1761,1905,1940
Uruguay,Argentina,1905,2072,1940
Argentina,Uruguay,2072,1905,1940
Sweden,Denmark,1708,1702,1940
Denmark,Sweden,1702,1708,1940
Germany,Denmark,1820,1702,1940
Portugal,Spain,1645,1948,1941
Peru,Argentina,1702,2103,1941
Peru,Argentina,1702,2103,1941
Peru,Argentina,1702,2103,1941
Argentina,Peru,2103,1702,1941
Argentina,Uruguay,2103,1932,1941
Peru,Uruguay,1702,1932,1941
Germany,Switzerland,1850,1749,1941
Spain,Portugal,1948,1645,1941
Switzerland,Germany,1749,1850,1941
Costa Rica,Panama,1833,1274,1941
Germany,Croatia,1850,1893,1941
Sweden,Denmark,1715,1719,1941
Sweden,Germany,1715,1850,1941
Denmark,Sweden,1719,1715,1941
Germany,Denmark,1850,1719,1941
Spain,Switzerland,1948,1749,1941
Portugal,Switzerland,1663,1753,1942
Argentina,Brazil,2090,1879,1942
Brazil,Peru,1879,1672,1942
Uruguay,Brazil,1988,1879,1942
Argentina,Peru,2090,1672,1942
Germany,Switzerland,1908,1753,1942
Uruguay,Peru,1988,1672,1942
Uruguay,Argentina,1988,2090,1942
France,Switzerland,1664,1753,1942
Spain,France,1944,1664,1942
Germany,Spain,1908,1944,1942
Argentina,Uruguay,2090,1988,1942
Denmark,Sweden,1690,1748,1942
Uruguay,Argentina,1988,2090,1942
Germany,Sweden,1908,1748,1942
Sweden,Denmark,1748,1690,1942
Switzerland,Germany,1753,1908,1942
Germany,Croatia,1908,1865,1942
Switzerland,Sweden,1753,1748,1942
Argentina,Uruguay,2082,1980,1943
Switzerland,Croatia,1741,1869,1943
Uruguay,Argentina,1980,2082,1943
Sweden,Switzerland,1763,1741,1943
Denmark,Sweden,1699,1763,1943
Brazil,Uruguay,1916,1943,1944
Brazil,Uruguay,1916,1943,1944
France,Belgium,1670,1529,1944
Brazil,Colombia,1996,1353,1945
Colombia,Uruguay,1353,1854,1945
Argentina,Colombia,2038,1353,1945
Brazil,Uruguay,1996,1854,1945
Argentina,Brazil,2038,1996,1945
Argentina,Uruguay,2038,1854,1945
Portugal,Spain,1660,1942,1945
Switzerland,France,1800,1648,1945
Spain,Portugal,1942,1660,1945
Switzerland,Portugal,1800,1660,1945
England,France,1962,1648,1945
Sweden,Denmark,1792,1705,1945
Denmark,Sweden,1705,1792,1945
Uruguay,Argentina,1854,2038,1945
Switzerland,England,1800,1962,1945
Argentina,Uruguay,2038,1854,1945
Sweden,Denmark,1792,1705,1945
Switzerland,Sweden,1800,1792,1945
Belgium,France,1516,1648,1945
Brazil,Argentina,1996,2038,1945
Brazil,Argentina,1996,2038,1945
Brazil,Argentina,1996,2038,1945
Uruguay,Brazil,1823,1976,1946
England,Belgium,2004,1524,1946
Brazil,Uruguay,1976,1823,1946
Argentina,Uruguay,2085,1823,1946
Argentina,Brazil,2085,1976,1946
Costa Rica,Panama,1549,1384,1946
Portugal,France,1678,1684,1946
England,Switzerland,2004,1783,1946
France,England,1684,2004,1946
Denmark,Sweden,1744,1805,1946
Sweden,Switzerland,1805,1783,1946
Iceland,Denmark,1308,1744,1946
Sweden,Denmark,1805,1744,1946
Portugal,Switzerland,1681,1763,1947
Portugal,Spain,1681,1887,1947
France,Portugal,1740,1681,1947
Uruguay,Brazil,1819,1980,1947
Brazil,Uruguay,1980,1819,1947
England,France,2021,1740,1947
Switzerland,England,1763,2021,1947
Portugal,England,1681,2021,1947
France,Belgium,1740,1514,1947
Switzerland,France,1763,1740,1947
Denmark,Sweden,1727,1862,1947
Sweden,Denmark,1862,1727,1947
Sweden,Poland,1862,1578,1947
Belgium,England,1514,2021,1947
Switzerland,Belgium,1763,1514,1947
England,Sweden,2021,1862,1947
Portugal,France,1681,1740,1947
Colombia,Uruguay,1407,1819,1947
Argentina,Peru,2102,1647,1947
Argentina,Colombia,2102,1407,1947
Colombia,Peru,1407,1647,1947
Peru,Uruguay,1647,1819,1947
Argentina,Uruguay,2102,1819,1947
Costa Rica,Panama,1571,1483,1948
Spain,Portugal,1893,1688,1948
Uruguay,Brazil,1869,1951,1948
Uruguay,Brazil,1869,1951,1948
Belgium,France,1547,1750,1948
Switzerland,Spain,1754,1893,1948
Denmark,Poland,1803,1570,1948
Denmark,England,1803,2088,1948
Sweden,Denmark,1996,1803,1948
France,Belgium,1750,1547,1948
England,Switzerland,2088,1754,1948
Spain,Belgium,1893,1632,1949
Portugal,Spain,1690,1893,1949
Colombia,Peru,1305,1733,1949
Brazil,Colombia,1984,1305,1949
Brazil,Peru,1984,1733,1949
Uruguay,Colombia,1719,1305,1949
Brazil,Uruguay,1984,1719,1949
Peru,Uruguay,1733,1719,1949
Sweden,England,1969,2046,1949
France,England,1715,2046,1949
France,Switzerland,1715,1725,1949
France,Spain,1715,1893,1949
Poland,Denmark,1561,1800,1949
Denmark,Iceland,1800,1311,1949
Belgium,Switzerland,1632,1725,1949
Denmark,Sweden,1800,1969,1949
Spain,Portugal,1868,1685,1950
Portugal,Spain,1685,1868,1950
Brazil,Uruguay,2014,1871,1950
Brazil,Uruguay,2014,1871,1950
Portugal,England,1685,1999,1950
Belgium,England,1683,1999,1950
Belgium,France,1683,1699,1950
Brazil,Mexico,2014,1724,1950
Brazil,Switzerland,2014,1757,1950
England,Spain,1999,1868,1950
Mexico,Switzerland,1724,1757,1950
Brazil,Sweden,2014,1933,1950
Spain,Uruguay,1868,1871,1950
Brazil,Spain,2014,1868,1950
Sweden,Uruguay,1933,1871,1950
Brazil,Uruguay,2014,1871,1950
Spain,Sweden,1868,1933,1950
Sweden,Denmark,1933,1760,1950
France,Belgium,1699,1683,1950
Switzerland,Sweden,1757,1933,1950
Spain,Switzerland,1877,1723,1951
Panama,Costa Rica,1520,1580,1951
Costa Rica,Panama,1580,1520,1951
England,Argentina,1968,2071,1951
England,Portugal,1968,1664,1951
Belgium,Spain,1667,1877,1951
Portugal,Belgium,1664,1667,1951
Sweden,Spain,1843,1877,1951
Iceland,Sweden,1326,1843,1951
England,France,1968,1728,1951
Switzerland,France,1723,1728,1951
Denmark,Sweden,1756,1843,1951
Mexico,Uruguay,1635,1855,1952
Panama,Peru,1446,1763,1952
France,Sweden,1763,1845,1952
Peru,Uruguay,1763,1855,1952
Brazil,Mexico,2058,1635,1952
Panama,Uruguay,1446,1855,1952
Brazil,Peru,2058,1763,1952
Mexico,Panama,1635,1446,1952
Brazil,Panama,2058,1446,1952
Brazil,Uruguay,2058,1855,1952
France,Portugal,1763,1653,1952
Mexico,Peru,1635,1763,1952
Belgium,France,1699,1763,1952
Switzerland,England,1704,2011,1952
Denmark,Sweden,1679,1845,1952
Sweden,Denmark,1845,1679,1952
England,Belgium,2011,1699,1952
Spain,Argentina,1867,2082,1952
Portugal,Argentina,1653,2082,1952
France,Belgium,1763,1699,1952
Costa Rica,Panama,1655,1292,1953
Brazil,Uruguay,1971,1883,1953
Peru,Brazil,1716,1971,1953
Spain,Belgium,1873,1749,1953
Peru,Uruguay,1716,1883,1953
Argentina,England,2088,2006,1953
Argentina,England,2088,2006,1953
Sweden,Belgium,1807,1749,1953
Uruguay,England,1883,2006,1953
Sweden,France,1807,1790,1953
Denmark,Sweden,1710,1807,1953
Switzerland,Denmark,1675,1710,1953
Argentina,Spain,2088,1873,1953
Denmark,Iceland,1710,1320,1953
Belgium,Sweden,1749,1807,1953
Spain,Sweden,1873,1807,1953
France,Switzerland,1790,1675,1953
Switzerland,Belgium,1675,1749,1953
Belgium,Portugal,1778,1654,1954
Switzerland,Uruguay,1726,1938,1954
Belgium,France,1778,1806,1954
Brazil,Mexico,2011,1655,1954
Belgium,England,1778,1998,1954
France,Mexico,1806,1655,1954
Switzerland,England,1726,1998,1954
England,Uruguay,1998,1938,1954
Sweden,Iceland,1825,1334,1954
Denmark,Switzerland,1649,1726,1954
Sweden,Denmark,1825,1649,1954
France,Belgium,1806,1778,1954
Portugal,Argentina,1654,2070,1954
Spain,France,1831,1840,1955
Argentina,Uruguay,2117,1890,1955
Peru,Uruguay,1776,1890,1955
France,Sweden,1840,1790,1955
Argentina,Peru,2117,1776,1955
France,England,1840,1965,1955
Spain,England,1831,1965,1955
Portugal,England,1661,1965,1955
Switzerland,Spain,1680,1831,1955
Iceland,Denmark,1340,1653,1955
Denmark,England,1653,1965,1955
Switzerland,France,1680,1840,1955
Denmark,Sweden,1653,1790,1955
